aqi,temperature,humidity,pm2_5,pm10,timestamp,dataSource,_id,location,__v,location.latitude,location.longitude
105,29.8,48.1,33,37,2025-09-16 02:40:05+00:00,synthetic,synth_00031,,0.0,28.6139,77.209
103,31.1,48.1,7,8,2025-09-16 03:40:05+00:00,synthetic,synth_00032,,0.0,28.6139,77.209
101,32.4,46.0,18,21,2025-09-16 04:40:05+00:00,synthetic,synth_00033,,0.0,28.6139,77.209
95,33.6,43.6,17,28,2025-09-16 05:40:05+00:00,synthetic,synth_00034,,0.0,28.6139,77.209
100,35.8,40.7,55,60,2025-09-16 06:40:05+00:00,synthetic,synth_00035,,0.0,28.6139,77.209
100,34.7,41.0,41,41,2025-09-16 07:40:05+00:00,synthetic,synth_00036,,0.0,28.6139,77.209
107,34.5,42.2,6,6,2025-09-16 08:40:05+00:00,synthetic,synth_00037,,0.0,28.6139,77.209
105,35.6,39.9,49,50,2025-09-16 09:40:05+00:00,synthetic,synth_00038,,0.0,28.6139,77.209
113,34.4,42.0,48,52,2025-09-16 10:40:05+00:00,synthetic,synth_00039,,0.0,28.6139,77.209
105,35.9,40.1,28,28,2025-09-16 11:40:05+00:00,synthetic,synth_00040,,0.0,28.6139,77.209
99,36.2,38.6,16,19,2025-09-16 12:40:05+00:00,synthetic,synth_00041,,0.0,28.6139,77.209
105,33.4,43.2,63,63,2025-09-16 13:40:05+00:00,synthetic,synth_00042,,0.0,28.6139,77.209
103,32.9,44.9,35,35,2025-09-16 14:40:05+00:00,synthetic,synth_00043,,0.0,28.6139,77.209
100,33.1,41.3,9,10,2025-09-16 15:40:05+00:00,synthetic,synth_00044,,0.0,28.6139,77.209
106,31.6,46.6,5,6,2025-09-16 16:40:05+00:00,synthetic,synth_00045,,0.0,28.6139,77.209
107,30.0,49.4,26,29,2025-09-16 17:40:05+00:00,synthetic,synth_00046,,0.0,28.6139,77.209
114,30.6,45.5,16,19,2025-09-16 18:40:05+00:00,synthetic,synth_00047,,0.0,28.6139,77.209
114,28.2,52.8,25,28,2025-09-16 19:40:05+00:00,synthetic,synth_00048,,0.0,28.6139,77.209
113,28.6,53.5,30,32,2025-09-16 20:40:05+00:00,synthetic,synth_00049,,0.0,28.6139,77.209
106,28.3,54.6,26,27,2025-09-16 21:40:05+00:00,synthetic,synth_00050,,0.0,28.6139,77.209
110,28.2,53.5,26,30,2025-09-16 22:40:05+00:00,synthetic,synth_00051,,0.0,28.6139,77.209
110,29.8,51.6,57,59,2025-09-16 23:40:05+00:00,synthetic,synth_00052,,0.0,28.6139,77.209
108,28.9,53.6,31,38,2025-09-17 00:40:05+00:00,synthetic,synth_00053,,0.0,28.6139,77.209
100,30.1,51.1,14,16,2025-09-17 01:40:05+00:00,synthetic,synth_00054,,0.0,28.6139,77.209
99,30.2,48.3,22,22,2025-09-17 02:40:05+00:00,synthetic,synth_00055,,0.0,28.6139,77.209
94,31.8,45.8,23,25,2025-09-17 03:40:05+00:00,synthetic,synth_00056,,0.0,28.6139,77.209
96,32.0,46.5,16,16,2025-09-17 04:40:05+00:00,synthetic,synth_00057,,0.0,28.6139,77.209
94,33.8,45.3,32,32,2025-09-17 05:40:05+00:00,synthetic,synth_00058,,0.0,28.6139,77.209
97,34.0,41.3,16,16,2025-09-17 06:40:05+00:00,synthetic,synth_00059,,0.0,28.6139,77.209
103,35.8,40.4,68,70,2025-09-17 07:40:05+00:00,synthetic,synth_00060,,0.0,28.6139,77.209
107,35.8,37.6,38,41,2025-09-17 08:40:05+00:00,synthetic,synth_00061,,0.0,28.6139,77.209
114,38.2,33.6,63,66,2025-09-17 09:40:05+00:00,synthetic,synth_00062,,0.0,28.6139,77.209
120,34.8,39.2,16,16,2025-09-17 10:40:05+00:00,synthetic,synth_00063,,0.0,28.6139,77.209
109,35.9,42.0,44,44,2025-09-17 11:40:05+00:00,synthetic,synth_00064,,0.0,28.6139,77.209
100,34.1,45.5,49,49,2025-09-17 12:40:05+00:00,synthetic,synth_00065,,0.0,28.6139,77.209
91,34.7,43.8,49,50,2025-09-17 13:40:05+00:00,synthetic,synth_00066,,0.0,28.6139,77.209
91,32.9,45.6,27,28,2025-09-17 14:40:05+00:00,synthetic,synth_00067,,0.0,28.6139,77.209
94,33.1,42.7,36,41,2025-09-17 15:40:05+00:00,synthetic,synth_00068,,0.0,28.6139,77.209
97,32.2,46.0,25,26,2025-09-17 16:40:05+00:00,synthetic,synth_00069,,0.0,28.6139,77.209
108,30.8,51.4,74,81,2025-09-17 17:40:05+00:00,synthetic,synth_00070,,0.0,28.6139,77.209
105,30.6,46.8,45,45,2025-09-17 18:40:05+00:00,synthetic,synth_00071,,0.0,28.6139,77.209
105,30.2,50.7,58,58,2025-09-17 19:40:05+00:00,synthetic,synth_00072,,0.0,28.6139,77.209
98,28.5,53.5,23,24,2025-09-17 20:40:05+00:00,synthetic,synth_00073,,0.0,28.6139,77.209
94,28.6,52.1,43,43,2025-09-17 21:40:05+00:00,synthetic,synth_00074,,0.0,28.6139,77.209
96,27.6,56.5,49,49,2025-09-17 22:40:05+00:00,synthetic,synth_00075,,0.0,28.6139,77.209
97,27.3,53.0,24,24,2025-09-17 23:40:05+00:00,synthetic,synth_00076,,0.0,28.6139,77.209
94,28.9,52.4,40,43,2025-09-18 00:40:05+00:00,synthetic,synth_00077,,0.0,28.6139,77.209
93,29.1,47.8,15,20,2025-09-18 01:40:05+00:00,synthetic,synth_00078,,0.0,28.6139,77.209
100,30.9,49.0,45,49,2025-09-18 02:40:05+00:00,synthetic,synth_00079,,0.0,28.6139,77.209
98,29.8,50.4,11,11,2025-09-18 03:40:05+00:00,synthetic,synth_00080,,0.0,28.6139,77.209
95,33.6,44.4,12,16,2025-09-18 04:40:05+00:00,synthetic,synth_00081,,0.0,28.6139,77.209
97,34.5,42.0,12,12,2025-09-18 05:40:05+00:00,synthetic,synth_00082,,0.0,28.6139,77.209
95,34.6,43.7,5,5,2025-09-18 06:40:05+00:00,synthetic,synth_00083,,0.0,28.6139,77.209
97,34.5,39.6,25,25,2025-09-18 07:40:05+00:00,synthetic,synth_00084,,0.0,28.6139,77.209
103,35.5,37.9,32,36,2025-09-18 08:40:05+00:00,synthetic,synth_00085,,0.0,28.6139,77.209
108,35.5,40.1,10,12,2025-09-18 09:40:05+00:00,synthetic,synth_00086,,0.0,28.6139,77.209
104,35.5,36.6,40,42,2025-09-18 10:40:05+00:00,synthetic,synth_00087,,0.0,28.6139,77.209
102,35.7,35.8,19,19,2025-09-18 11:40:05+00:00,synthetic,synth_00088,,0.0,28.6139,77.209
96,34.3,41.1,39,39,2025-09-18 12:40:05+00:00,synthetic,synth_00089,,0.0,28.6139,77.209
98,34.1,44.0,5,5,2025-09-18 13:40:05+00:00,synthetic,synth_00090,,0.0,28.6139,77.209
99,33.5,42.3,31,32,2025-09-18 14:40:05+00:00,synthetic,synth_00091,,0.0,28.6139,77.209
103,32.7,44.6,38,39,2025-09-18 15:40:05+00:00,synthetic,synth_00092,,0.0,28.6139,77.209
104,31.3,51.2,31,31,2025-09-18 16:40:05+00:00,synthetic,synth_00093,,0.0,28.6139,77.209
110,28.3,51.5,21,21,2025-09-18 17:40:05+00:00,synthetic,synth_00094,,0.0,28.6139,77.209
110,30.4,50.3,75,75,2025-09-18 18:40:05+00:00,synthetic,synth_00095,,0.0,28.6139,77.209
110,27.7,57.1,54,55,2025-09-18 19:40:05+00:00,synthetic,synth_00096,,0.0,28.6139,77.209
112,29.4,53.5,80,82,2025-09-18 20:40:05+00:00,synthetic,synth_00097,,0.0,28.6139,77.209
112,27.6,53.9,25,26,2025-09-18 21:40:05+00:00,synthetic,synth_00098,,0.0,28.6139,77.209
113,27.5,53.4,28,30,2025-09-18 22:40:05+00:00,synthetic,synth_00099,,0.0,28.6139,77.209
112,28.6,55.1,23,28,2025-09-18 23:40:05+00:00,synthetic,synth_00100,,0.0,28.6139,77.209
105,26.8,58.5,15,15,2025-09-19 00:40:05+00:00,synthetic,synth_00101,,0.0,28.6139,77.209
103,31.2,48.0,15,17,2025-09-19 01:40:05+00:00,synthetic,synth_00102,,0.0,28.6139,77.209
103,30.0,51.3,49,54,2025-09-19 02:40:05+00:00,synthetic,synth_00103,,0.0,28.6139,77.209
107,30.5,48.8,27,31,2025-09-19 03:40:05+00:00,synthetic,synth_00104,,0.0,28.6139,77.209
97,33.2,44.2,58,58,2025-09-19 04:40:05+00:00,synthetic,synth_00105,,0.0,28.6139,77.209
101,32.5,43.0,35,41,2025-09-19 05:40:05+00:00,synthetic,synth_00106,,0.0,28.6139,77.209
101,33.6,41.8,5,5,2025-09-19 06:40:05+00:00,synthetic,synth_00107,,0.0,28.6139,77.209
103,37.1,38.9,48,48,2025-09-19 07:40:05+00:00,synthetic,synth_00108,,0.0,28.6139,77.209
116,35.7,39.0,42,44,2025-09-19 08:40:05+00:00,synthetic,synth_00109,,0.0,28.6139,77.209
112,35.6,37.9,25,26,2025-09-19 09:40:05+00:00,synthetic,synth_00110,,0.0,28.6139,77.209
109,34.3,44.2,72,72,2025-09-19 10:40:05+00:00,synthetic,synth_00111,,0.0,28.6139,77.209
103,34.2,40.3,23,29,2025-09-19 11:40:05+00:00,synthetic,synth_00112,,0.0,28.6139,77.209
103,36.2,37.0,58,63,2025-09-19 12:40:05+00:00,synthetic,synth_00113,,0.0,28.6139,77.209
95,34.3,41.5,50,54,2025-09-19 13:40:05+00:00,synthetic,synth_00114,,0.0,28.6139,77.209
93,32.9,46.2,57,58,2025-09-19 14:40:05+00:00,synthetic,synth_00115,,0.0,28.6139,77.209
95,32.5,44.5,6,9,2025-09-19 15:40:05+00:00,synthetic,synth_00116,,0.0,28.6139,77.209
94,29.3,51.9,5,5,2025-09-19 16:40:05+00:00,synthetic,synth_00117,,0.0,28.6139,77.209
90,31.2,48.9,61,66,2025-09-19 17:40:05+00:00,synthetic,synth_00118,,0.0,28.6139,77.209
95,29.9,51.4,52,55,2025-09-19 18:40:05+00:00,synthetic,synth_00119,,0.0,28.6139,77.209
101,26.7,57.1,5,5,2025-09-19 19:40:05+00:00,synthetic,synth_00120,,0.0,28.6139,77.209
102,27.9,53.5,43,43,2025-09-19 20:40:05+00:00,synthetic,synth_00121,,0.0,28.6139,77.209
104,28.0,54.3,5,7,2025-09-19 21:40:05+00:00,synthetic,synth_00122,,0.0,28.6139,77.209
110,26.9,54.8,55,58,2025-09-19 22:40:05+00:00,synthetic,synth_00123,,0.0,28.6139,77.209
109,28.1,52.5,21,21,2025-09-19 23:40:05+00:00,synthetic,synth_00124,,0.0,28.6139,77.209
99,27.4,56.5,5,10,2025-09-20 00:40:05+00:00,synthetic,synth_00125,,0.0,28.6139,77.209
97,29.0,53.6,34,36,2025-09-20 01:40:05+00:00,synthetic,synth_00126,,0.0,28.6139,77.209
104,31.5,46.3,35,41,2025-09-20 02:40:05+00:00,synthetic,synth_00127,,0.0,28.6139,77.209
96,33.0,44.6,72,78,2025-09-20 03:40:05+00:00,synthetic,synth_00128,,0.0,28.6139,77.209
96,31.3,46.4,5,5,2025-09-20 04:40:05+00:00,synthetic,synth_00129,,0.0,28.6139,77.209
94,33.3,44.1,9,12,2025-09-20 05:40:05+00:00,synthetic,synth_00130,,0.0,28.6139,77.209
98,34.6,38.5,46,48,2025-09-20 06:40:05+00:00,synthetic,synth_00131,,0.0,28.6139,77.209
99,33.7,43.9,9,10,2025-09-20 07:40:05+00:00,synthetic,synth_00132,,0.0,28.6139,77.209
101,36.5,36.7,36,37,2025-09-20 08:40:05+00:00,synthetic,synth_00133,,0.0,28.6139,77.209
99,36.0,37.5,35,35,2025-09-20 09:40:05+00:00,synthetic,synth_00134,,0.0,28.6139,77.209
97,36.9,36.9,30,30,2025-09-20 10:40:05+00:00,synthetic,synth_00135,,0.0,28.6139,77.209
94,36.0,40.7,47,53,2025-09-20 11:40:05+00:00,synthetic,synth_00136,,0.0,28.6139,77.209
100,34.4,43.8,35,35,2025-09-20 12:40:05+00:00,synthetic,synth_00137,,0.0,28.6139,77.209
92,32.9,42.6,22,22,2025-09-20 13:40:05+00:00,synthetic,synth_00138,,0.0,28.6139,77.209
89,34.7,39.6,41,42,2025-09-20 14:40:05+00:00,synthetic,synth_00139,,0.0,28.6139,77.209
88,31.6,48.1,44,47,2025-09-20 15:40:05+00:00,synthetic,synth_00140,,0.0,28.6139,77.209
90,31.8,47.2,76,78,2025-09-20 16:40:05+00:00,synthetic,synth_00141,,0.0,28.6139,77.209
90,32.0,46.4,50,55,2025-09-20 17:40:05+00:00,synthetic,synth_00142,,0.0,28.6139,77.209
90,29.8,48.6,52,59,2025-09-20 18:40:05+00:00,synthetic,synth_00143,,0.0,28.6139,77.209
91,28.7,53.4,27,33,2025-09-20 19:40:05+00:00,synthetic,synth_00144,,0.0,28.6139,77.209
91,26.6,55.2,16,21,2025-09-20 20:40:05+00:00,synthetic,synth_00145,,0.0,28.6139,77.209
90,28.0,56.5,47,47,2025-09-20 21:40:05+00:00,synthetic,synth_00146,,0.0,28.6139,77.209
88,29.0,56.2,53,54,2025-09-20 22:40:05+00:00,synthetic,synth_00147,,0.0,28.6139,77.209
91,29.5,53.1,58,64,2025-09-20 23:40:05+00:00,synthetic,synth_00148,,0.0,28.6139,77.209
96,29.0,53.0,52,52,2025-09-21 00:40:05+00:00,synthetic,synth_00149,,0.0,28.6139,77.209
94,29.5,53.4,25,26,2025-09-21 01:40:05+00:00,synthetic,synth_00150,,0.0,28.6139,77.209
86,31.4,51.8,42,44,2025-09-21 02:40:05+00:00,synthetic,synth_00151,,0.0,28.6139,77.209
87,32.2,47.4,63,67,2025-09-21 03:40:05+00:00,synthetic,synth_00152,,0.0,28.6139,77.209
85,33.6,41.7,35,35,2025-09-21 04:40:05+00:00,synthetic,synth_00153,,0.0,28.6139,77.209
91,32.4,45.2,10,10,2025-09-21 05:40:05+00:00,synthetic,synth_00154,,0.0,28.6139,77.209
90,34.1,39.3,70,73,2025-09-21 06:40:05+00:00,synthetic,synth_00155,,0.0,28.6139,77.209
89,35.7,38.4,38,43,2025-09-21 07:40:05+00:00,synthetic,synth_00156,,0.0,28.6139,77.209
96,37.2,34.4,25,25,2025-09-21 08:40:05+00:00,synthetic,synth_00157,,0.0,28.6139,77.209
97,35.8,39.5,32,38,2025-09-21 09:40:05+00:00,synthetic,synth_00158,,0.0,28.6139,77.209
96,36.7,38.6,57,61,2025-09-21 10:40:05+00:00,synthetic,synth_00159,,0.0,28.6139,77.209
95,36.3,39.8,58,64,2025-09-21 11:40:05+00:00,synthetic,synth_00160,,0.0,28.6139,77.209
88,35.8,37.5,67,68,2025-09-21 12:40:05+00:00,synthetic,synth_00161,,0.0,28.6139,77.209
89,33.5,39.7,17,17,2025-09-21 13:40:05+00:00,synthetic,synth_00162,,0.0,28.6139,77.209
81,34.3,43.1,38,40,2025-09-21 14:40:05+00:00,synthetic,synth_00163,,0.0,28.6139,77.209
83,33.0,45.4,5,5,2025-09-21 15:40:05+00:00,synthetic,synth_00164,,0.0,28.6139,77.209
86,30.1,47.9,5,5,2025-09-21 16:40:05+00:00,synthetic,synth_00165,,0.0,28.6139,77.209
96,30.0,51.6,52,56,2025-09-21 17:40:05+00:00,synthetic,synth_00166,,0.0,28.6139,77.209
98,29.6,51.5,26,28,2025-09-21 18:40:05+00:00,synthetic,synth_00167,,0.0,28.6139,77.209
102,29.5,51.6,35,35,2025-09-21 19:40:05+00:00,synthetic,synth_00168,,0.0,28.6139,77.209
107,27.7,54.2,39,42,2025-09-21 20:40:05+00:00,synthetic,synth_00169,,0.0,28.6139,77.209
105,27.7,58.4,33,34,2025-09-21 21:40:05+00:00,synthetic,synth_00170,,0.0,28.6139,77.209
101,28.6,51.7,37,37,2025-09-21 22:40:05+00:00,synthetic,synth_00171,,0.0,28.6139,77.209
99,28.2,57.1,40,40,2025-09-21 23:40:05+00:00,synthetic,synth_00172,,0.0,28.6139,77.209
100,30.8,49.0,61,63,2025-09-22 00:40:05+00:00,synthetic,synth_00173,,0.0,28.6139,77.209
98,30.6,47.2,59,66,2025-09-22 01:40:05+00:00,synthetic,synth_00174,,0.0,28.6139,77.209
95,31.2,48.9,38,38,2025-09-22 02:40:05+00:00,synthetic,synth_00175,,0.0,28.6139,77.209
95,32.6,45.4,60,60,2025-09-22 03:40:05+00:00,synthetic,synth_00176,,0.0,28.6139,77.209
100,31.5,44.4,5,5,2025-09-22 04:40:05+00:00,synthetic,synth_00177,,0.0,28.6139,77.209
98,33.7,44.0,41,41,2025-09-22 05:40:05+00:00,synthetic,synth_00178,,0.0,28.6139,77.209
104,32.9,43.3,34,37,2025-09-22 06:40:05+00:00,synthetic,synth_00179,,0.0,28.6139,77.209
104,34.8,44.2,30,32,2025-09-22 07:40:05+00:00,synthetic,synth_00180,,0.0,28.6139,77.209
111,35.6,39.0,43,45,2025-09-22 08:40:05+00:00,synthetic,synth_00181,,0.0,28.6139,77.209
114,36.6,37.3,41,41,2025-09-22 09:40:05+00:00,synthetic,synth_00182,,0.0,28.6139,77.209
114,36.9,32.1,58,60,2025-09-22 10:40:05+00:00,synthetic,synth_00183,,0.0,28.6139,77.209
113,35.6,36.9,17,23,2025-09-22 11:40:05+00:00,synthetic,synth_00184,,0.0,28.6139,77.209
106,35.8,39.9,42,44,2025-09-22 12:40:05+00:00,synthetic,synth_00185,,0.0,28.6139,77.209
111,34.4,43.5,42,47,2025-09-22 13:40:05+00:00,synthetic,synth_00186,,0.0,28.6139,77.209
108,34.2,39.7,18,18,2025-09-22 14:40:05+00:00,synthetic,synth_00187,,0.0,28.6139,77.209
105,32.7,46.0,51,53,2025-09-22 15:40:05+00:00,synthetic,synth_00188,,0.0,28.6139,77.209
103,32.7,43.7,58,63,2025-09-22 16:40:05+00:00,synthetic,synth_00189,,0.0,28.6139,77.209
103,30.7,50.0,61,64,2025-09-22 17:40:05+00:00,synthetic,synth_00190,,0.0,28.6139,77.209
100,30.0,48.3,5,5,2025-09-22 18:40:05+00:00,synthetic,synth_00191,,0.0,28.6139,77.209
100,29.4,52.7,6,12,2025-09-22 19:40:05+00:00,synthetic,synth_00192,,0.0,28.6139,77.209
106,25.9,62.0,22,22,2025-09-22 20:40:05+00:00,synthetic,synth_00193,,0.0,28.6139,77.209
109,30.2,52.6,88,94,2025-09-22 21:40:05+00:00,synthetic,synth_00194,,0.0,28.6139,77.209
109,28.2,54.1,40,41,2025-09-22 22:40:05+00:00,synthetic,synth_00195,,0.0,28.6139,77.209
100,27.4,53.5,34,39,2025-09-22 23:40:05+00:00,synthetic,synth_00196,,0.0,28.6139,77.209
103,27.3,56.4,5,5,2025-09-23 00:40:05+00:00,synthetic,synth_00197,,0.0,28.6139,77.209
103,29.3,49.0,15,16,2025-09-23 01:40:05+00:00,synthetic,synth_00198,,0.0,28.6139,77.209
94,30.7,50.1,42,47,2025-09-23 02:40:05+00:00,synthetic,synth_00199,,0.0,28.6139,77.209
95,31.5,48.2,25,25,2025-09-23 03:40:05+00:00,synthetic,synth_00200,,0.0,28.6139,77.209
93,31.1,50.6,12,12,2025-09-23 04:40:05+00:00,synthetic,synth_00201,,0.0,28.6139,77.209
92,33.8,45.5,45,48,2025-09-23 05:40:05+00:00,synthetic,synth_00202,,0.0,28.6139,77.209
92,34.5,43.1,76,81,2025-09-23 06:40:05+00:00,synthetic,synth_00203,,0.0,28.6139,77.209
97,35.2,39.7,36,43,2025-09-23 07:40:05+00:00,synthetic,synth_00204,,0.0,28.6139,77.209
100,35.0,44.1,5,7,2025-09-23 08:40:05+00:00,synthetic,synth_00205,,0.0,28.6139,77.209
110,36.1,40.7,25,25,2025-09-23 09:40:05+00:00,synthetic,synth_00206,,0.0,28.6139,77.209
105,34.8,37.9,18,18,2025-09-23 10:40:05+00:00,synthetic,synth_00207,,0.0,28.6139,77.209
103,35.1,40.8,5,5,2025-09-23 11:40:05+00:00,synthetic,synth_00208,,0.0,28.6139,77.209
105,35.9,39.0,10,10,2025-09-23 12:40:05+00:00,synthetic,synth_00209,,0.0,28.6139,77.209
103,34.7,39.5,39,39,2025-09-23 13:40:05+00:00,synthetic,synth_00210,,0.0,28.6139,77.209
99,32.2,47.4,22,23,2025-09-23 14:40:05+00:00,synthetic,synth_00211,,0.0,28.6139,77.209
94,33.2,44.3,38,40,2025-09-23 15:40:05+00:00,synthetic,synth_00212,,0.0,28.6139,77.209
97,31.2,47.6,31,35,2025-09-23 16:40:05+00:00,synthetic,synth_00213,,0.0,28.6139,77.209
97,28.1,54.1,5,5,2025-09-23 17:40:05+00:00,synthetic,synth_00214,,0.0,28.6139,77.209
102,30.5,52.3,83,87,2025-09-23 18:40:05+00:00,synthetic,synth_00215,,0.0,28.6139,77.209
108,28.7,53.4,28,32,2025-09-23 19:40:05+00:00,synthetic,synth_00216,,0.0,28.6139,77.209
107,28.3,52.0,23,24,2025-09-23 20:40:05+00:00,synthetic,synth_00217,,0.0,28.6139,77.209
110,28.1,55.8,54,57,2025-09-23 21:40:05+00:00,synthetic,synth_00218,,0.0,28.6139,77.209
107,26.5,56.0,9,9,2025-09-23 22:40:05+00:00,synthetic,synth_00219,,0.0,28.6139,77.209
105,28.5,54.6,47,47,2025-09-23 23:40:05+00:00,synthetic,synth_00220,,0.0,28.6139,77.209
99,27.8,55.7,39,43,2025-09-24 00:40:05+00:00,synthetic,synth_00221,,0.0,28.6139,77.209
97,30.4,49.9,60,62,2025-09-24 01:40:05+00:00,synthetic,synth_00222,,0.0,28.6139,77.209
95,30.8,49.0,38,43,2025-09-24 02:40:05+00:00,synthetic,synth_00223,,0.0,28.6139,77.209
99,28.7,53.3,5,5,2025-09-24 03:40:05+00:00,synthetic,synth_00224,,0.0,28.6139,77.209
94,32.2,46.2,5,5,2025-09-24 04:40:05+00:00,synthetic,synth_00225,,0.0,28.6139,77.209
93,32.5,45.7,39,43,2025-09-24 05:40:05+00:00,synthetic,synth_00226,,0.0,28.6139,77.209
97,35.1,39.6,15,15,2025-09-24 06:40:05+00:00,synthetic,synth_00227,,0.0,28.6139,77.209
99,34.6,43.5,10,10,2025-09-24 07:40:05+00:00,synthetic,synth_00228,,0.0,28.6139,77.209
109,35.0,42.0,30,36,2025-09-24 08:40:05+00:00,synthetic,synth_00229,,0.0,28.6139,77.209
113,37.5,34.4,34,36,2025-09-24 09:40:05+00:00,synthetic,synth_00230,,0.0,28.6139,77.209
115,36.6,36.8,73,74,2025-09-24 10:40:05+00:00,synthetic,synth_00231,,0.0,28.6139,77.209
117,35.3,40.2,36,36,2025-09-24 11:40:05+00:00,synthetic,synth_00232,,0.0,28.6139,77.209
114,33.8,43.2,32,35,2025-09-24 12:40:05+00:00,synthetic,synth_00233,,0.0,28.6139,77.209
111,32.7,47.0,21,21,2025-09-24 13:40:05+00:00,synthetic,synth_00234,,0.0,28.6139,77.209
111,33.9,46.7,45,49,2025-09-24 14:40:05+00:00,synthetic,synth_00235,,0.0,28.6139,77.209
107,33.7,44.3,45,50,2025-09-24 15:40:05+00:00,synthetic,synth_00236,,0.0,28.6139,77.209
104,30.0,46.5,31,31,2025-09-24 16:40:05+00:00,synthetic,synth_00237,,0.0,28.6139,77.209
104,30.4,51.0,35,35,2025-09-24 17:40:05+00:00,synthetic,synth_00238,,0.0,28.6139,77.209
105,29.3,54.8,43,47,2025-09-24 18:40:05+00:00,synthetic,synth_00239,,0.0,28.6139,77.209
109,29.3,50.2,63,64,2025-09-24 19:40:05+00:00,synthetic,synth_00240,,0.0,28.6139,77.209
106,29.5,52.0,50,57,2025-09-24 20:40:05+00:00,synthetic,synth_00241,,0.0,28.6139,77.209
106,29.6,49.8,92,97,2025-09-24 21:40:05+00:00,synthetic,synth_00242,,0.0,28.6139,77.209
109,28.2,52.3,50,50,2025-09-24 22:40:05+00:00,synthetic,synth_00243,,0.0,28.6139,77.209
104,30.0,51.7,42,45,2025-09-24 23:40:05+00:00,synthetic,synth_00244,,0.0,28.6139,77.209
107,28.5,53.1,21,24,2025-09-25 00:40:05+00:00,synthetic,synth_00245,,0.0,28.6139,77.209
103,29.1,51.7,47,48,2025-09-25 01:40:05+00:00,synthetic,synth_00246,,0.0,28.6139,77.209
108,30.6,50.7,22,22,2025-09-25 02:40:05+00:00,synthetic,synth_00247,,0.0,28.6139,77.209
